[throughput] started QUIC connection f2be249d2a4e8f57dc
[throughput] connection establishment time: 32.39 ms
[throughput] time to first byte: 37.04 ms
[throughput] second 85: 9.53 Mbit/s, bytes received: 1.192383 MB, packets received: 856
[throughput] second 86: 9.54 Mbit/s, bytes received: 1.193779 MB, packets received: 855
[throughput] second 87: 9.53 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 88: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 89: 9.53 Mbit/s, bytes received: 1.192875 MB, packets received: 856
[throughput] second 90: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 91: 9.53 Mbit/s, bytes received: 1.192374 MB, packets received: 855
[throughput] second 92: 9.54 Mbit/s, bytes received: 1.193779 MB, packets received: 856
[throughput] second 93: 9.54 Mbit/s, bytes received: 1.192875 MB, packets received: 856
[throughput] second 94: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 95: 9.52 Mbit/s, bytes received: 1.192365 MB, packets received: 855
[throughput] second 96: 9.53 Mbit/s, bytes received: 1.193789 MB, packets received: 856
[throughput] second 97: 9.54 Mbit/s, bytes received: 1.193779 MB, packets received: 856
[throughput] second 98: 9.53 Mbit/s, bytes received: 1.192883 MB, packets received: 856
[throughput] second 99: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 100: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 101: 9.52 Mbit/s, bytes received: 1.192347 MB, packets received: 855
[throughput] second 102: 9.54 Mbit/s, bytes received: 1.193806 MB, packets received: 856
[throughput] second 103: 9.54 Mbit/s, bytes received: 1.192875 MB, packets received: 856
[throughput] second 104: 9.53 Mbit/s, bytes received: 1.192356 MB, packets received: 855
[throughput] second 105: 9.54 Mbit/s, bytes received: 1.193806 MB, packets received: 856
[throughput] second 106: 9.54 Mbit/s, bytes received: 1.193779 MB, packets received: 856
[throughput] second 107: 9.53 Mbit/s, bytes received: 1.192365 MB, packets received: 855
[throughput] second 108: 9.53 Mbit/s, bytes received: 1.192884 MB, packets received: 857
[throughput] second 109: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 110: 9.52 Mbit/s, bytes received: 1.192374 MB, packets received: 855
[throughput] second 111: 9.53 Mbit/s, bytes received: 1.192374 MB, packets received: 855
